filepath,sentence
audio_data_aug/train/wavs/noise-B23___05_1John_______ISLICEN1DA_25.wav,og þetta er vitnisburðurinn guð
audio_data_aug/train/wavs/noise-B08___01_2CorinthiansISLICEN1DA_36.wav,hugðist bæði koma við hjá ykkur á leiðinni til makedóníu og aftur á leiðinni
audio_data_aug/train/wavs/noise-B01___26_Matthew_____ISLICEN1DA_50.wav,muntu þrisvar afneita mér
audio_data_aug/train/wavs/noise-B21___04_1Peter______ISLICEN1DA_30.wav,sæl eruð þið þegar menn smána ykkur vegna nafns krists
audio_data_aug/train/wavs/noise-B03___24_Luke________ISLICEN1DA_29.wav,sagði við hann
audio_data_aug/train/wavs/noise-B19___04_Hebrews_____ISLICEN1DA_14.wav,þeir sem áður fengu fagnaðarerindið gengu ekki inn sakir óhlýðni
audio_data_aug/train/wavs/noise-B09___03_Galatians___ISLICEN1DA_47.wav,er þá lögmálið gegn fyrirheitum guðs
audio_data_aug/train/wavs/noise-B03___21_Luke________ISLICEN1DA_70.wav,á daginn var jesús að kenna í helgidóminum en fór og dvaldist um nætur á olíufjallinu
audio_data_aug/train/wavs/noise-B17___02_Titus_______ISLICEN1DA_01.wav,en tala þú það sem sæmir hinni heilnæmu kenningu
audio_data_aug/train/wavs/noise-B04___09_John________ISLICEN1DA_45.wav,hvernig getur syndugur maður gert þvílík
audio_data_aug/train/wavs/noise-B03___04_Luke________ISLICEN1DA_76.wav,og báðu þeir hann að hjálpa henni
audio_data_aug/train/wavs/noise-B03___16_Luke________ISLICEN1DA_38.wav,enginn þjónn getur þjónað tveimur herrum
audio_data_aug/train/wavs/noise-B01___10_Matthew_____ISLICEN1DA_39.wav,mun og ég við kannast fyrir föður mínum á himnum en þeim sem afneitar mér fyrir mönnum mun og ég afneita fyrir föður mínum á himnum
audio_data_aug/train/wavs/noise-B05___19_Acts________ISLICEN1DA_63.wav,er þeir heyrðu þetta urðu þeir afar reiðir og æptu
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_67.wav,og slotaði þegar og gerði logn
audio_data_aug/train/wavs/noise-B08___11_2CorinthiansISLICEN1DA_16.wav,og er ég var hjá ykkur og leið þröng varð ég þó ekki neinum til byrði því að úr skorti mínum bættu bræðurnir er komu frá makedóníu
audio_data_aug/train/wavs/noise-B04___04_John________ISLICEN1DA_118.wav,hann spurði þá hvenær honum hefði farið að létta
audio_data_aug/train/wavs/noise-B23___03_1John_______ISLICEN1DA_03.wav,heimurinn þekkir okkur ekki vegna þess að hann þekkti hann ekki
audio_data_aug/train/wavs/noise-B21___01_1Peter______ISLICEN1DA_09.wav,og veitt oss óforgengilega flekklausa og ófölnandi arfleifð
audio_data_aug/train/wavs/noise-B04___21_John________ISLICEN1DA_15.wav,jesús segir við þá
audio_data_aug/train/wavs/noise-B08___02_2CorinthiansISLICEN1DA_28.wav,og til þeirra sem glatast
audio_data_aug/train/wavs/noise-B01___11_Matthew_____ISLICEN1DA_05.wav,koma skal eða eigum við að vænta annars
audio_data_aug/train/wavs/noise-B04___09_John________ISLICEN1DA_46.wav,tákn
audio_data_aug/train/wavs/noise-B06___11_Romans______ISLICEN1DA_66.wav,nokkur hluti ísraels er forhertur orðinn og það varir uns allir heiðingjar eru komnir inn
audio_data_aug/train/wavs/noise-B06___02_Romans______ISLICEN1DA_21.wav,allir sem syndgað hafa án þess að þekkja lögmál munu og tortímast án lögmáls
audio_data_aug/train/wavs/noise-B05___06_Acts________ISLICEN1DA_21.wav,þeir æstu upp fólkið öldungana og fræðimennina og þeir veittust að honum gripu hann
audio_data_aug/train/wavs/noise-B05___21_Acts________ISLICEN1DA_18.wav,hann átti fjórar ógiftar dætur gæddar spádómsgáfu þegar við höfðum dvalist þar nokkra daga
audio_data_aug/train/wavs/noise-B06___14_Romans______ISLICEN1DA_35.wav,guðs ríki er ekki matur og drykkur heldur réttlæti
audio_data_aug/train/wavs/noise-B02___01_Mark________ISLICEN1DA_08.wav,en jóhannes var í klæðum úr úlfaldahári með leðurbelti um lendar sér
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_151.wav,sannlega sannlega segi ég yður
audio_data_aug/train/wavs/noise-B03___22_Luke________ISLICEN1DA_131.wav,og drottinn vék sér við og leit til péturs
audio_data_aug/train/wavs/noise-B01___24_Matthew_____ISLICEN1DA_65.wav,verið þér og viðbúin því að mannssonurinn kemur á þeirri stundu sem þér ætlið eigi
audio_data_aug/train/wavs/noise-B03___12_Luke________ISLICEN1DA_45.wav,og ég segi við sálu mína
audio_data_aug/train/wavs/noise-B05___02_Acts________ISLICEN1DA_77.wav,því að ykkur er ætlað fyrirheitið börnum ykkar og öllum þeim sem í fjarlægð eru
audio_data_aug/train/wavs/noise-B02___10_Mark________ISLICEN1DA_78.wav,hinir tíu heyrðu þetta gramdist þeim við þá jakob og jóhannes en jesús kallaði þá til sín og mælti
audio_data_aug/train/wavs/noise-B11___02_Philippians_ISLICEN1DA_22.wav,því að það er guð sem verkar í ykkur bæði að vilja og að framkvæma sér til velþóknunar
audio_data_aug/train/wavs/noise-B07___01_1CorinthiansISLICEN1DA_13.wav,hann mun einnig styrkja ykkur allt til enda og gera ykkur óaðfinnanleg á degi drottins vors jesú krists
audio_data_aug/train/wavs/noise-B05___09_Acts________ISLICEN1DA_10.wav,hver ert þú drottinn
audio_data_aug/train/wavs/noise-B05___09_Acts________ISLICEN1DA_25.wav,og leggja hendur yfir sig til þess að hann fái aftur sjón
audio_data_aug/train/wavs/noise-B04___10_John________ISLICEN1DA_99.wav,segið þér þá við mig sem faðirinn helgaði og sendi í heiminn
audio_data_aug/train/wavs/noise-B01___05_Matthew_____ISLICEN1DA_53.wav,betra er þér að einn lima þinna glatist en öllum líkama þínum verði kastað
audio_data_aug/train/wavs/noise-B23___02_1John_______ISLICEN1DA_25.wav,ég rita ykkur börnin mín af því að guð hefur fyrirgefið ykkur syndir ykkar
audio_data_aug/train/wavs/noise-B15___01_1Timothy____ISLICEN1DA_01.wav,páll postuli
audio_data_aug/train/wavs/noise-B04___07_John________ISLICEN1DA_46.wav,jesús svaraði því
audio_data_aug/train/wavs/noise-B07___08_1CorinthiansISLICEN1DA_12.wav,til og einn drottin jesú krist sem allt varð til fyrir
audio_data_aug/train/wavs/noise-B04___09_John________ISLICEN1DA_75.wav,að ég sem var blindur er nú sjáandi
audio_data_aug/train/wavs/noise-B03___07_Luke________ISLICEN1DA_117.wav,símon svaraði
audio_data_aug/train/wavs/noise-B19___06_Hebrews_____ISLICEN1DA_34.wav,mikil uppörvun fyrir okkur sem höfum leitað athvarfs í þeirri sælu von sem við eigum
audio_data_aug/train/wavs/noise-B04___13_John________ISLICEN1DA_37.wav,og því sagði hann þið eruð ekki allir hreinir
audio_data_aug/train/wavs/noise-B05___22_Acts________ISLICEN1DA_61.wav,þegar hundraðshöfðinginn heyrði þetta fór hann til hersveitarforingjans
audio_data_aug/train/wavs/noise-B04___10_John________ISLICEN1DA_69.wav,ég hef sagt yður það
audio_data_aug/train/wavs/noise-B01___07_Matthew_____ISLICEN1DA_13.wav,barni sínu stein er það biður um brauð
audio_data_aug/train/wavs/noise-B03___18_Luke________ISLICEN1DA_74.wav,nú förum við upp til jerúsalem og mun allt það koma fram sem spámennirnir hafa skrifað um mannssoninn
audio_data_aug/train/wavs/noise-B04___10_John________ISLICEN1DA_28.wav,er kominn til þess
audio_data_aug/train/wavs/noise-B03___20_Luke________ISLICEN1DA_56.wav,þá komu nokkrir saddúkear en þeir neita því að upprisa sé til og sögðu við jesú
audio_data_aug/train/wavs/noise-B01___02_Matthew_____ISLICEN1DA_29.wav,nú rættist það sem jeremía spámaður hafði sagt fyrir um rödd
audio_data_aug/train/wavs/noise-B04___10_John________ISLICEN1DA_43.wav,ég á líka aðra sauði sem eru ekki úr þessu sauðabyrgi
audio_data_aug/train/wavs/noise-B19___03_Hebrews_____ISLICEN1DA_24.wav,gætið þess bræður og systur
audio_data_aug/train/wavs/noise-B03___11_Luke________ISLICEN1DA_74.wav,varðveita það
audio_data_aug/train/wavs/noise-B05___23_Acts________ISLICEN1DA_10.wav,páll svaraði
audio_data_aug/train/wavs/noise-B05___28_Acts________ISLICEN1DA_29.wav,þeir yfirheyrðu mig og vildu láta mig lausan af því að á mér hvíldi engin dauðasök
audio_data_aug/train/wavs/noise-B22___01_2Peter______ISLICEN1DA_33.wav,þessi er minn elskaði sonur sem ég hef velþóknun á
audio_data_aug/train/wavs/noise-B02___14_Mark________ISLICEN1DA_06.wav,hún braut buðkinn og hellti yfir höfuð honum
audio_data_aug/train/wavs/noise-B07___03_1CorinthiansISLICEN1DA_06.wav,er metingur og deilur á milli ykkar
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_146.wav,en þeir hlógu að honum þar eð þeir vissu að hún var dáin
audio_data_aug/train/wavs/noise-B25___01_3John_______ISLICEN1DA_16.wav,þess vegna ætla ég ef ég kem að benda á gjörðir hans hvernig hann lætur ófrægja mig með ljótum orðum
audio_data_aug/train/wavs/noise-B06___05_Romans______ISLICEN1DA_23.wav,þannig er dauðinn runninn til allra manna því að allir syndguðu þeir
audio_data_aug/train/wavs/noise-B09___06_Galatians___ISLICEN1DA_19.wav,sjáið með hversu stórum stöfum ég skrifa ykkur með eigin hendi
audio_data_aug/train/wavs/noise-B05___23_Acts________ISLICEN1DA_09.wav,smánar þú æðsta prest guðs
audio_data_aug/train/wavs/noise-B05___19_Acts________ISLICEN1DA_81.wav,þið hafið dregið þessa menn hingað þótt þeir hafi hvorki framið helgispjöll né lastmælt gyðju okkar
audio_data_aug/train/wavs/noise-B01___26_Matthew_____ISLICEN1DA_17.wav,þá fór einn þeirra tólf júdas ískaríot að nafni til æðstu prestanna
audio_data_aug/train/wavs/noise-B05___17_Acts________ISLICEN1DA_19.wav,slepptu þeir ekki þeim jasoni fyrr en þeir höfðu látið þá setja tryggingu
audio_data_aug/train/wavs/noise-B07___12_1CorinthiansISLICEN1DA_54.wav,nei
audio_data_aug/train/wavs/noise-B07___14_1CorinthiansISLICEN1DA_10.wav,ég vildi að þið töluðuð öll tungum en þó enn framar að þið hefðuð spámannlega gáfu
audio_data_aug/train/wavs/noise-B12___04_Colossians__ISLICEN1DA_05.wav,hans vegna er ég nú í böndum
audio_data_aug/train/wavs/noise-B03___03_Luke________ISLICEN1DA_86.wav,sonar arpaksads sonar sems sonar nóa
audio_data_aug/train/wavs/noise-B20___02_James_______ISLICEN1DA_19.wav,boðorð þess
audio_data_aug/train/wavs/noise-B03___07_Luke________ISLICEN1DA_80.wav,á ég þá að líkja mönnum þessarar kynslóðar
audio_data_aug/train/wavs/noise-B12___02_Colossians__ISLICEN1DA_29.wav,slíkt er aðeins skuggi þess sem koma átti
audio_data_aug/train/wavs/noise-B21___02_1Peter______ISLICEN1DA_45.wav,heldur fól það honum á vald sem dæmir réttvíslega
audio_data_aug/train/wavs/noise-B06___10_Romans______ISLICEN1DA_09.wav,en réttlætið af trúnni mælir þannig
audio_data_aug/train/wavs/noise-B17___01_Titus_______ISLICEN1DA_08.wav,lét þig eftir á krít til þess að þú færðir í lag það sem ógert var og skipaðir öldunga í hverri borg
audio_data_aug/train/wavs/noise-B18___01_Philemon____ISLICEN1DA_11.wav,þótt ég gæti með fullri djörfung í kristi boðið þér að gera það sem skylt er
audio_data_aug/train/wavs/noise-B04___05_John________ISLICEN1DA_57.wav,að hafa líf í sjálfum sér og hann hefur veitt honum vald til að halda
audio_data_aug/train/wavs/noise-B01___15_Matthew_____ISLICEN1DA_51.wav,ég kenni í brjósti um mannfjöldann
audio_data_aug/train/wavs/noise-B05___26_Acts________ISLICEN1DA_07.wav,því bið ég þig að hlýða þolinmóður á mig
audio_data_aug/train/wavs/noise-B04___04_John________ISLICEN1DA_30.wav,gef mér þetta vatn svo að mig þyrsti ekki
audio_data_aug/train/wavs/noise-B02___06_Mark________ISLICEN1DA_10.wav,og eru ekki systur hans hér hjá okkur
audio_data_aug/train/wavs/noise-B02___02_Mark________ISLICEN1DA_15.wav,en til þess að þið vitið að mannssonurinn hefur vald til að fyrirgefa syndir á jörðu
audio_data_aug/train/wavs/noise-B03___18_Luke________ISLICEN1DA_31.wav,því að hver sem upp hefur sjálfan sig
audio_data_aug/train/wavs/noise-B27___16_Revelation__ISLICEN1DA_32.wav,sjöundi engillinn hellti úr sinni skál yfir loftið og raust mikil kom út úr musterinu
audio_data_aug/train/wavs/noise-B06___16_Romans______ISLICEN1DA_36.wav,sem illt er
audio_data_aug/train/wavs/noise-B02___13_Mark________ISLICEN1DA_46.wav,ég hef sagt yður allt fyrir
audio_data_aug/train/wavs/noise-B17___01_Titus_______ISLICEN1DA_16.wav,hann á að vera fastheldinn við hið áreiðanlega orð sem kennt hefur verið til þess að hann sé fær um
audio_data_aug/train/wavs/noise-B04___21_John________ISLICEN1DA_27.wav,þegar þeir stigu á land sáu þeir fisk lagðan á glóðir
audio_data_aug/train/wavs/noise-B08___01_2CorinthiansISLICEN1DA_30.wav,hefur stjórnast af hreinskilni og einlægni sem kemur frá guði ekki af mannlegri speki
audio_data_aug/train/wavs/noise-B05___18_Acts________ISLICEN1DA_20.wav,þagna ekki
audio_data_aug/train/wavs/noise-B05___08_Acts________ISLICEN1DA_47.wav,hann hafði farið til jerúsalem til að biðjast fyrir og var á heimleið
audio_data_aug/train/wavs/noise-B27___01_Revelation__ISLICEN1DA_12.wav,hann elskar oss og leysti oss frá syndum vorum með blóði sínu og
audio_data_aug/train/wavs/noise-B07___16_1CorinthiansISLICEN1DA_03.wav,hvern fyrsta dag vikunnar skal hvert ykkar leggja í sjóð heima hjá sér það sem efni leyfa
audio_data_aug/train/wavs/noise-B02___02_Mark________ISLICEN1DA_46.wav,á hvíldardegi
audio_data_aug/train/wavs/noise-B05___19_Acts________ISLICEN1DA_85.wav,en ef þið hafið annars að krefja má gera út um það á löglegu þingi
audio_data_aug/train/wavs/noise-B02___16_Mark________ISLICEN1DA_38.wav,þegar nú drottinn jesús hafði talað við þá var hann upp numinn til himins
audio_data_aug/train/wavs/noise-B06___07_Romans______ISLICEN1DA_01.wav,þið vitið systkin
audio_data_aug/train/wavs/noise-B03___16_Luke________ISLICEN1DA_70.wav,en hann sagði
audio_data_aug/train/wavs/noise-B02___09_Mark________ISLICEN1DA_57.wav,en þeir skildu ekki það sem hann sagði og þorðu ekki að spyrja hann
audio_data_aug/train/wavs/noise-B02___08_Mark________ISLICEN1DA_67.wav,og hann lagði ríkt á við þá að segja engum frá sér
audio_data_aug/train/wavs/noise-B05___09_Acts________ISLICEN1DA_51.wav,en lærisveinarnir tóku hann um nótt og komu honum út fyrir borgarmúrinn með því að láta hann síga ofan
audio_data_aug/train/wavs/noise-B05___15_Acts________ISLICEN1DA_65.wav,eftir nokkra daga sagði páll við barnabas
audio_data_aug/train/wavs/noise-B04___18_John________ISLICEN1DA_78.wav,ekki er ég
audio_data_aug/train/wavs/noise-B16___04_2Timothy____ISLICEN1DA_03.wav,prédika þú orðið
audio_data_aug/train/wavs/noise-B27___13_Revelation__ISLICEN1DA_12.wav,og því var gefinn munnur er mælti gífuryrði og guðlast og leyft að fara því fram
audio_data_aug/train/wavs/noise-B05___22_Acts________ISLICEN1DA_12.wav,í böndum til jerúsalem að þeim yrði refsað
audio_data_aug/train/wavs/noise-B27___17_Revelation__ISLICEN1DA_26.wav,og dýrið sem var en er ekki er einmitt hinn áttundi
audio_data_aug/train/wavs/noise-B27___12_Revelation__ISLICEN1DA_36.wav,fjarri augsýn höggormsins
audio_data_aug/train/wavs/noise-B04___07_John________ISLICEN1DA_47.wav,eitt verk gerði ég
audio_data_aug/train/wavs/noise-B15___01_1Timothy____ISLICEN1DA_24.wav,orð er satt og í alla staði þess vert að við því sé tekið að kristur jesús kom í heiminn
audio_data_aug/train/wavs/noise-B05___09_Acts________ISLICEN1DA_57.wav,í damaskus dvaldist sál nú með þeim í jerúsalem
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_125.wav,og hann veit að hann segir satt
audio_data_aug/train/wavs/noise-B10___01_Ephesians___ISLICEN1DA_34.wav,en kirkjan er líkami hans og fyllist af honum sem sjálfur fyllir allt
audio_data_aug/train/wavs/noise-B04___19_John________ISLICEN1DA_133.wav,pílatus leyfði það
audio_data_aug/train/wavs/noise-B07___13_1CorinthiansISLICEN1DA_40.wav,en nú varir trú von og kærleikur þetta
audio_data_aug/train/wavs/noise-B02___03_Mark________ISLICEN1DA_17.wav,kom til hans fjöldi manna er heyrt höfðu hve mikið hann gerði
audio_data_aug/train/wavs/noise-B11___01_Philippians_ISLICEN1DA_07.wav,ég fulltreysti einmitt því að hann sem byrjaði í ykkur góða verkið
audio_data_aug/train/wavs/noise-B16___01_2Timothy____ISLICEN1DA_24.wav,og ég er sannfærður um að hann er þess megnugur að varðveita það sem mér er trúað fyrir
audio_data_aug/train/wavs/noise-B02___01_Mark________ISLICEN1DA_44.wav,hann kennir á nýjan hátt það er eins og hann búi yfir guðlegum mætti hann skipar jafnvel óhreinum öndum
audio_data_aug/train/wavs/noise-B03___16_Luke________ISLICEN1DA_64.wav,og kæli tungu mína því að ég kvelst í þessum loga
audio_data_aug/train/wavs/noise-B01___11_Matthew_____ISLICEN1DA_33.wav,en ég segi ykkur týrus og sídon mun bærilegra á dómsdegi en ykkur
audio_data_aug/train/wavs/noise-B01___05_Matthew_____ISLICEN1DA_52.wav,ríf það úr og kasta frá þér
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_122.wav,menn sögðu við hann
audio_data_aug/train/wavs/noise-B05___23_Acts________ISLICEN1DA_02.wav,góðir menn og bræður ég
audio_data_aug/train/wavs/noise-B04___01_John________ISLICEN1DA_10.wav,ekki var hann ljósið hann kom til að vitna um ljósið hið sanna ljós
audio_data_aug/train/wavs/noise-B06___08_Romans______ISLICEN1DA_04.wav,það sem lögmálinu var ógerlegt
audio_data_aug/train/wavs/noise-B02___09_Mark________ISLICEN1DA_36.wav,þeir færðu hann þá til jesú en um leið og andinn sá hann teygði hann drenginn ákaflega
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_88.wav,skilja að ég er sá sem ég
audio_data_aug/train/wavs/noise-B06___09_Romans______ISLICEN1DA_06.wav,helgihaldið og fyrirheitin
audio_data_aug/train/wavs/noise-B13___05_1Thess______ISLICEN1DA_06.wav,og þeir munu alls ekki undan komast en þið systkin eruð ekki
audio_data_aug/train/wavs/noise-B03___15_Luke________ISLICEN1DA_11.wav,þannig verður meiri fögnuður á himni yfir einum syndara sem tekur sinnaskiptum
audio_data_aug/train/wavs/noise-B01___20_Matthew_____ISLICEN1DA_41.wav,og sá sem vill fremstur vera meðal ykkar sé þræll ykkar mannssonurinn er ekki kominn til þess að láta þjóna sér
audio_data_aug/train/wavs/noise-B03___14_Luke________ISLICEN1DA_12.wav,jesús gaf því gætur hvernig boðsgestir völdu sér hefðarsætin tók dæmi
audio_data_aug/train/wavs/noise-B01___10_Matthew_____ISLICEN1DA_27.wav,allir munu hata yður af því að þér trúið á mig en sá sem staðfastur er allt
audio_data_aug/train/wavs/noise-B01___01_Matthew_____ISLICEN1DA_02.wav,abraham gat ísak ísak gat jakob jakob gat júda og bræður hans
audio_data_aug/train/wavs/noise-B02___16_Mark________ISLICEN1DA_09.wav,þér leitið að jesú frá nasaret hinum krossfesta
audio_data_aug/train/wavs/noise-B08___04_2CorinthiansISLICEN1DA_28.wav,allt er þetta ykkar vegna til þess að náðin verði sem mest og láti sem flesta flytja þakkargjörð
audio_data_aug/train/wavs/noise-B04___17_John________ISLICEN1DA_22.wav,ég bið ekki fyrir heiminum heldur fyrir þeim sem þú hefur gefið mér því að þeir eru þínir
audio_data_aug/train/wavs/noise-B07___10_1CorinthiansISLICEN1DA_14.wav,á einum degi
audio_data_aug/train/wavs/noise-B03___18_Luke________ISLICEN1DA_04.wav,lát þú mig ná rétti á mótstöðumanni mínum
audio_data_aug/train/wavs/noise-B13___05_1Thess______ISLICEN1DA_16.wav,hvetjið því og uppbyggið hvert annað eins og þið og gerið ég
audio_data_aug/train/wavs/noise-B11___01_Philippians_ISLICEN1DA_38.wav,þá kem ég aftur til ykkar og þið finnið enn betur hvílík upphefð það er að fylgja
audio_data_aug/train/wavs/noise-B13___05_1Thess______ISLICEN1DA_22.wav,takið að ykkur óstyrka verið þolinmóð við alla
audio_data_aug/train/wavs/noise-B03___06_Luke________ISLICEN1DA_55.wav,en ég segi yður er á mig hlýðið
audio_data_aug/train/wavs/noise-B01___11_Matthew_____ISLICEN1DA_21.wav,allt fram að jóhannesi sögðu fyrir um þetta og ef þér viljið við því taka þá er hann elía
audio_data_aug/train/wavs/noise-B04___05_John________ISLICEN1DA_48.wav,heldur hefur hann falið syninum allt dómsvald svo að allir heiðri soninn eins og þeir heiðra föðurinn
audio_data_aug/train/wavs/noise-B07___10_1CorinthiansISLICEN1DA_22.wav,guð er trúr og lætur ekki reyna ykkur um megn fram heldur mun hann
audio_data_aug/train/wavs/noise-B01___21_Matthew_____ISLICEN1DA_57.wav,seldi hann síðan vínyrkjum á leigu og fór úr landi
audio_data_aug/train/wavs/noise-B03___01_Luke________ISLICEN1DA_52.wav,og á ríki hans mun enginn endir verða
audio_data_aug/train/wavs/noise-B04___06_John________ISLICEN1DA_02.wav,mikill fjöldi manna fylgdi honum því þeir sáu þau tákn er hann gerði á sjúku fólki
audio_data_aug/train/wavs/noise-B02___05_Mark________ISLICEN1DA_38.wav,þar var kona sem hafði haft blóðlát í tólf ár hún hafði orðið margt að þola hjá mörgum læknum
audio_data_aug/train/wavs/noise-B09___04_Galatians___ISLICEN1DA_34.wav,þangað til kristur er myndaður í ykkur
audio_data_aug/train/wavs/noise-B23___02_1John_______ISLICEN1DA_24.wav,og veit ekki hvert hann fer því að myrkrið hefur blindað augu hans
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_18.wav,en sumt féll í góða jörð óx upp og bar hundraðfaldan ávöxt
audio_data_aug/train/wavs/noise-B04___14_John________ISLICEN1DA_04.wav,væri ekki svo hefði ég þá sagt yður að ég færi burt að búa yður stað þegar
audio_data_aug/train/wavs/noise-B04___08_John________ISLICEN1DA_134.wav,girnist
audio_data_aug/train/wavs/noise-B03___08_Luke________ISLICEN1DA_137.wav,óttast ekki
audio_data_aug/train/wavs/noise-B23___04_1John_______ISLICEN1DA_58.wav,að sá sem elskar guð á einnig að elska bróður sinn og systur
audio_data_aug/train/wavs/noise-B27___02_Revelation__ISLICEN1DA_41.wav,ég þekki verkin þín elsku þína og trú þjónustu þína og þolgæði og veit að hin síðari verk þín eru meiri en hin fyrri
audio_data_aug/train/wavs/noise-B05___15_Acts________ISLICEN1DA_75.wav,fór hann um sýrland og kilikíu og styrkti söfnuðina
audio_data_aug/train/wavs/noise-B27___18_Revelation__ISLICEN1DA_32.wav,kaupmennirnir sem seldu þessa hluti og auðguðust á henni munu standa álengdar af ótta yfir kvöl hennar
audio_data_aug/train/wavs/noise-B03___23_Luke________ISLICEN1DA_23.wav,lagði yfir hann skínandi klæði og sendi hann aftur til pílatusar
audio_data_aug/train/wavs/noise-B01___15_Matthew_____ISLICEN1DA_03.wav,hann svaraði þeim hvers vegna brjótið þið sjálfir boðorð guðs sakir erfikenningar ykkar
audio_data_aug/train/wavs/noise-B05___05_Acts________ISLICEN1DA_25.wav,allur söfnuðurinn kom einum huga saman í súlnagöngum salómons
audio_data_aug/train/wavs/noise-B03___05_Luke________ISLICEN1DA_44.wav,og kraftur drottins var með honum til að lækna
audio_data_aug/train/wavs/noise-B10___02_Ephesians___ISLICEN1DA_19.wav,þið voruð upprunalega heiðingjar og kallaðir óumskornir af mönnum sem kalla sig umskorna og eru umskornir á holdi
audio_data_aug/train/wavs/noise-B20___01_James_______ISLICEN1DA_02.wav,heilsar þeim tólf kynkvíslum í dreifingunni
audio_data_aug/train/wavs/noise-WIKITONGUES_Ljoni_speaking_Icelandic_27.wav,maður getur bara sagt hvað sem maður vill það kann hvort sem er enginn góða íslensku lengur
audio_data_aug/train/wavs/noise-B17___02_Titus_______ISLICEN1DA_03.wav,heilbrigðir í trúnni kærleikanum og þolgæðinu
audio_data_aug/train/wavs/noise-B06___11_Romans______ISLICEN1DA_20.wav,hlotnaðist það
audio_data_aug/train/wavs/noise-B01___05_Matthew_____ISLICEN1DA_63.wav,en ég segi yður að þér eigið alls ekki að sverja hvorki við himininn
audio_data_aug/train/wavs/noise-B04___03_John________ISLICEN1DA_21.wav,svo er um þann sem af andanum er fæddur
audio_data_aug/train/wavs/noise-B03___10_Luke________ISLICEN1DA_32.wav,hefðu þær löngu iðrast og setið í sekk og ösku
audio_data_aug/train/wavs/noise-B19___09_Hebrews_____ISLICEN1DA_61.wav,en nú hefur hann birst í eitt skipti fyrir öll við endi aldanna til að afmá syndina með fórn sinni
audio_data_aug/train/wavs/noise-B03___02_Luke________ISLICEN1DA_75.wav,hlýddi á þá og spurði þá
audio_data_aug/train/wavs/noise-B06___01_Romans______ISLICEN1DA_41.wav,heldur fylltu þeir hugann af hégiljum og skynlaust hjarta þeirra hjúpaðist myrkri
audio_data_aug/train/wavs/noise-B08___12_2CorinthiansISLICEN1DA_32.wav,þennan órétt
audio_data_aug/train/wavs/noise-B10___01_Ephesians___ISLICEN1DA_21.wav,hann er pantur arfleifðar vorrar að vér verðum endurleyst guði til eignar
audio_data_aug/train/wavs/noise-B06___10_Romans______ISLICEN1DA_51.wav,vekja vil ég ykkur til afbrýði gegn þjóð sem er ekki þjóð
